junction,datetime,transition,transProb
HOR,2010-01-03 00:15:00,qDT,3.79536952782998e-05
HOR,2010-01-03 00:15:00,qDU,4.92464614848138e-05
HOR,2010-01-03 00:15:00,qTD,4.45835187203349e-06
HOR,2010-01-03 00:15:00,qTU,2.10704615028673e-05
HOR,2010-01-03 00:15:00,qUD,0.0253572320240515
HOR,2010-01-03 00:15:00,qUT,0.0255177981282121
TC,2010-01-03 00:15:00,qDT,-999
TC,2010-01-03 00:15:00,qDU,-999
TC,2010-01-03 00:15:00,qTD,-999
TC,2010-01-03 00:15:00,qTU,-999
TC,2010-01-03 00:15:00,qUD,-999
TC,2010-01-03 00:15:00,qUT,-999
HOR,2010-01-03 00:30:00,qDT,3.79521083880144e-05
HOR,2010-01-03 00:30:00,qDU,4.92478781177993e-05
HOR,2010-01-03 00:30:00,qTD,4.45842471715939e-06
HOR,2010-01-03 00:30:00,qTU,2.10710676140398e-05
HOR,2010-01-03 00:30:00,qUD,0.025364153948548
HOR,2010-01-03 00:30:00,qUT,0.0254557917494927
TC,2010-01-03 00:30:00,qDT,-999
TC,2010-01-03 00:30:00,qDU,-999
TC,2010-01-03 00:30:00,qTD,-999
TC,2010-01-03 00:30:00,qTU,-999
TC,2010-01-03 00:30:00,qUD,-999
TC,2010-01-03 00:30:00,qUT,-999
HOR,2010-01-03 00:45:00,qDT,3.7950641461016e-05
HOR,2010-01-03 00:45:00,qDU,4.9252272899938e-05
HOR,2010-01-03 00:45:00,qTD,4.45717202454729e-06
HOR,2010-01-03 00:45:00,qTU,2.10729479363118e-05
HOR,2010-01-03 00:45:00,qUD,0.0252500512006697
HOR,2010-01-03 00:45:00,qUT,0.0253990013065707
TC,2010-01-03 00:45:00,qDT,-999
TC,2010-01-03 00:45:00,qDU,-999
TC,2010-01-03 00:45:00,qTD,-999
TC,2010-01-03 00:45:00,qTU,-999
TC,2010-01-03 00:45:00,qUD,-999
TC,2010-01-03 00:45:00,qUT,-999
HOR,2010-01-03 01:00:00,qDT,3.7949210865382e-05
HOR,2010-01-03 01:00:00,qDU,4.92566378674249e-05
HOR,2010-01-03 01:00:00,qTD,4.45591654373925e-06
HOR,2010-01-03 01:00:00,qTU,2.1074815502284e-05
HOR,2010-01-03 01:00:00,qUD,0.0251356808538405
HOR,2010-01-03 01:00:00,qUT,0.0253436275855698
TC,2010-01-03 01:00:00,qDT,-999
TC,2010-01-03 01:00:00,qDU,-999
TC,2010-01-03 01:00:00,qTD,-999
TC,2010-01-03 01:00:00,qTU,-999
TC,2010-01-03 01:00:00,qUD,-999
TC,2010-01-03 01:00:00,qUT,-999
HOR,2010-01-03 01:15:00,qDT,3.79480226075082e-05
HOR,2010-01-03 01:15:00,qDU,4.92631922613545e-05
HOR,2010-01-03 01:15:00,qTD,4.45362062451299e-06
HOR,2010-01-03 01:15:00,qTU,2.10776198216976e-05
HOR,2010-01-03 01:15:00,qUD,0.0249262713671895
HOR,2010-01-03 01:15:00,qUT,0.025298132003908
TC,2010-01-03 01:15:00,qDT,0.000137806185736642
TC,2010-01-03 01:15:00,qDU,0.000905694382860454
TC,2010-01-03 01:15:00,qTD,8.08369214952587e-05
TC,2010-01-03 01:15:00,qTU,0.000329091679806889
TC,2010-01-03 01:15:00,qUD,0.0202510151180195
TC,2010-01-03 01:15:00,qUT,0.000269000020095213
HOR,2010-01-03 01:30:00,qDT,3.79468917222045e-05
HOR,2010-01-03 01:30:00,qDU,4.92696890335795e-05
HOR,2010-01-03 01:30:00,qTD,4.45132481188268e-06
HOR,2010-01-03 01:30:00,qTU,2.10803994874694e-05
HOR,2010-01-03 01:30:00,qUD,0.0247168432520798
HOR,2010-01-03 01:30:00,qUT,0.0252548733085362
TC,2010-01-03 01:30:00,qDT,0.000137804712471576
TC,2010-01-03 01:30:00,qDU,0.000886550139876312
TC,2010-01-03 01:30:00,qTD,8.07876745240504e-05
TC,2010-01-03 01:30:00,qTU,0.000329140997309884
TC,2010-01-03 01:30:00,qUD,0.0199524706814665
TC,2010-01-03 01:30:00,qUT,0.00026858413360116
HOR,2010-01-03 01:45:00,qDT,3.79460263030091e-05
HOR,2010-01-03 01:45:00,qDU,4.92788490091243e-05
HOR,2010-01-03 01:45:00,qTD,4.44777595828036e-06
HOR,2010-01-03 01:45:00,qTU,2.10843186137039e-05
HOR,2010-01-03 01:45:00,qUD,0.0243929282987037
HOR,2010-01-03 01:45:00,qUT,0.0252224800165196
TC,2010-01-03 01:45:00,qDT,0.000137803312829138
TC,2010-01-03 01:45:00,qDU,0.000862636133379076
TC,2010-01-03 01:45:00,qTD,8.0736076982427e-05
TC,2010-01-03 01:45:00,qTU,0.000329192520113341
TC,2010-01-03 01:45:00,qUD,0.0196387562604599
TC,2010-01-03 01:45:00,qUT,0.00026903930551487
HOR,2010-01-03 02:00:00,qDT,3.79451743672196e-05
HOR,2010-01-03 02:00:00,qDU,4.92879279772163e-05
HOR,2010-01-03 02:00:00,qTD,4.44425599507091e-06
HOR,2010-01-03 02:00:00,qTU,2.10882030806237e-05
HOR,2010-01-03 02:00:00,qUD,0.024071609193808
HOR,2010-01-03 02:00:00,qUT,0.0251905976175516
TC,2010-01-03 02:00:00,qDT,0.000137801695333302
TC,2010-01-03 02:00:00,qDU,0.000836240113135585
TC,2010-01-03 02:00:00,qTD,8.06866275752668e-05
TC,2010-01-03 02:00:00,qTU,0.000329241911343389
TC,2010-01-03 02:00:00,qUD,0.0193372727157872
TC,2010-01-03 02:00:00,qUT,0.000269395008779807
HOR,2010-01-03 02:15:00,qDT,3.79443097944896e-05
HOR,2010-01-03 02:15:00,qDU,4.92971507914777e-05
HOR,2010-01-03 02:15:00,qTD,4.44067989355944e-06
HOR,2010-01-03 02:15:00,qTU,2.10921490926045e-05
HOR,2010-01-03 02:15:00,qUD,0.0237451245848077
HOR,2010-01-03 02:15:00,qUT,0.0251582394696641
TC,2010-01-03 02:15:00,qDT,0.000137801300096891
TC,2010-01-03 02:15:00,qDU,0.000817794673649105
TC,2010-01-03 02:15:00,qTD,8.06050918593784e-05
TC,2010-01-03 02:15:00,qTU,0.000329323105202788
TC,2010-01-03 02:15:00,qUD,0.0188458367202454
TC,2010-01-03 02:15:00,qUT,0.000271455465598671
HOR,2010-01-03 02:30:00,qDT,3.794368082401e-05
HOR,2010-01-03 02:30:00,qDU,4.93060180463997e-05
HOR,2010-01-03 02:30:00,qTD,4.43715511609623e-06
HOR,2010-01-03 02:30:00,qTU,2.10959429773263e-05
HOR,2010-01-03 02:30:00,qUD,0.0234232501238456
HOR,2010-01-03 02:30:00,qUT,0.025135062456914
TC,2010-01-03 02:30:00,qDT,0.000137801165261283
TC,2010-01-03 02:30:00,qDU,0.000803469814624718
TC,2010-01-03 02:30:00,qTD,8.05236343427885e-05
TC,2010-01-03 02:30:00,qTU,0.000329404214668637
TC,2010-01-03 02:30:00,qUD,0.0183557284901625
TC,2010-01-03 02:30:00,qUT,0.000273553325229809
HOR,2010-01-03 02:45:00,qDT,3.79430595258454e-05
HOR,2010-01-03 02:45:00,qDU,4.93133920541242e-05
HOR,2010-01-03 02:45:00,qTD,4.43426594680029e-06
HOR,2010-01-03 02:45:00,qTU,2.10990979712294e-05
HOR,2010-01-03 02:45:00,qUD,0.0231594054387871
HOR,2010-01-03 02:45:00,qUT,0.0251119303388199
TC,2010-01-03 02:45:00,qDT,0.00013780383077096
TC,2010-01-03 02:45:00,qDU,0.00080502069372885
TC,2010-01-03 02:45:00,qTD,8.03678749362437e-05
TC,2010-01-03 02:45:00,qTU,0.000329558916020683
TC,2010-01-03 02:45:00,qUD,0.0174249693651784
TC,2010-01-03 02:45:00,qUT,0.000279918869414167
HOR,2010-01-03 03:00:00,qDT,3.79427801817599e-05
HOR,2010-01-03 03:00:00,qDU,4.93203240667114e-05
HOR,2010-01-03 03:00:00,qTD,4.43141958041248e-06
HOR,2010-01-03 03:00:00,qTU,2.11020638560298e-05
HOR,2010-01-03 03:00:00,qUD,0.022899392168398
HOR,2010-01-03 03:00:00,qUT,0.025102141618263
TC,2010-01-03 03:00:00,qDT,0.000137806901594456
TC,2010-01-03 03:00:00,qDU,0.000811141981838951
TC,2010-01-03 03:00:00,qTD,8.02183775164462e-05
TC,2010-01-03 03:00:00,qTU,0.000329707333739032
TC,2010-01-03 03:00:00,qUD,0.0165324173613743
